id;ANTIGUEDAD;SALDO_TOTAL;SALDO_RESUMEN;CANT_TARJETAS;EDAD;ESTADO_CIVIL;SEXO;CUENTA_BASICA;INGRESOS_NETOS;MAXIMA_MORA;ENDEUDAMIENTO;SIT_MAYOR1;SEGMENTO;SITUACION;DIRTY
71;63;33545,23;13971,33;1;68;Soltero/a;FEMENINO;0;71274,84;0;0,17;0;JUBILADO PROVIN;1;0
72;104;20703,40;5192,38;2;68;Divorciado/a;FEMENINO;0;51839,41;0;0,16;0;JUBILADO PROVIN;0;0
73;107;9887,77;901,06;1;69;Viudo/a;FEMENINO;0;23568,43;0;0,03;0;JUBILADO PROVIN;1;0
74;114;0,00;0,00;1;87;Viudo/a;FEMENINO;0;26872,05;21;0,00;0;JUBILADO NACION;0;0
75;111;22539,57;8517,10;1;80;Divorciado/a;FEMENINO;0;26898,73;0;0,27;0;JUBILADO PROVIN;1;0
76;114;75707,08;7033,46;2;70;Casado/a;MASCULINO;0;51322,06;0;0,16;0;JUBILADO PROVIN;0;0
77;114;8515,23;7915,69;2;72;Casado/a;MASCULINO;1;58135,77;0;0,01;0;JUBILADO PROVIN;0;0
78;12;4136,91;4136,91;1;76;Casado/a;MASCULINO;0;57210,11;0;0,00;0;CONVENIO;0;0
79;114;34458,04;7931,25;1;76;Soltero/a;MASCULINO;0;30934,29;0;0,25;0;JUBILADO PROVIN;1;0
80;113;5939,14;2299,73;1;75;Viudo/a;MASCULINO;0;18382,17;0;0,16;0;JUBILADO PROVIN;1;0
81;104;164,19;164,19;1;81;Viudo/a;MASCULINO;0;58461,73;0;0,00;0;JUBILADO PROVIN;1;0
82;104;4174,30;4174,30;1;83;Viudo/a;FEMENINO;0;20516,53;0;0,17;0;JUBILADO PROVIN;0;0
83;39;11924,36;0,00;1;68;Viudo/a;FEMENINO;0;51853,33;0;0,05;0;JUBILADO PROVIN;1;0
84;35;4162,06;3851,02;1;68;Divorciado/a;FEMENINO;0;40801,06;0;0,04;0;JUBILADO PROVIN;0;0
85;98;0,00;0,00;1;84;Soltero/a;FEMENINO;0;37706,24;0;0,00;0;JUBILADO PROVIN;1;0
86;111;3572,53;1983,79;1;86;Viudo/a;FEMENINO;0;22449,05;0;0,07;0;JUBILADO PROVIN;1;0
87;104;2436,64;2136,01;1;69;Soltero/a;FEMENINO;0;17994,74;0;0,02;0;JUBILADO PROVIN;0;0
88;69;8858,18;3441,27;1;69;Viudo/a;FEMENINO;0;12589,24;0;0,16;0;JUBILADO NACION;0;0
89;110;10201,69;2909,39;1;68;Soltero/a;FEMENINO;0;24695,93;3;0,43;0;JUBILADO PROVIN;1;0
90;115;22377,56;7397,09;1;68;Soltero/a;FEMENINO;0;8326,32;0;0,56;0;JUBILADO NACION;0;0
91;104;42710,65;13806,63;1;76;Viudo/a;FEMENINO;0;33548,88;0;0,41;3;JUBILADO PROVIN;1;0
92;110;18296,78;6395,36;2;82;Casado/a;FEMENINO;0;56653,32;0;0,35;0;JUBILADO PROVIN;0;0
93;104;31267,59;9757,00;1;69;Casado/a;FEMENINO;0;22701,93;0;0,52;0;JUBILADO PROVIN;0;0
94;89;7474,78;5032,70;1;70;Soltero/a;FEMENINO;0;57610,30;0;0,01;0;JUBILADO PROVIN;1;0
95;104;5905,98;664,96;1;77;Soltero/a;MASCULINO;0;34134,67;0;0,02;0;JUBILADO PROVIN;0;0
96;104;2430,89;1279,23;2;75;Soltero/a;MASCULINO;0;70477,94;0;0,43;19;JUBILADO PROVIN;0;1
97;86;1206,41;1206,41;1;83;Casado/a;FEMENINO;0;20417,93;0;0,00;0;JUBILADO PROVIN;0;0
98;12;5167,02;2608,06;1;81;Soltero/a;FEMENINO;0;0,00;91;0,00;0;JUBILADO NACION;3;1
99;104;12608,92;11307,68;1;84;Viudo/a;FEMENINO;0;27913,71;0;0,01;0;JUBILADO PROVIN;1;0
100;114;53890,97;11826,01;1;69;Soltero/a;FEMENINO;0;48193,60;0;0,15;0;JUBILADO PROVIN;1;0
101;111;14961,76;9567,88;1;78;Viudo/a;FEMENINO;0;39609,77;0;0,12;0;JUBILADO PROVIN;1;0
102;48;29456,87;5889,00;1;70;Soltero/a;FEMENINO;0;14522,92;0;0,41;0;JUBILADO PROVIN;0;0
103;67;828,72;64,79;1;70;Casado/a;FEMENINO;0;26460,26;0;0,01;0;JUBILADO PROVIN;0;0
104;111;31045,72;12806,40;1;70;Viudo/a;FEMENINO;0;22806,33;0;0,47;11;JUBILADO PROVIN;1;0
105;100;4832,30;3766,65;1;83;Viudo/a;FEMENINO;0;10845,79;0;0,05;0;JUBILADO PROVIN;1;0
106;73;40153,26;12234,93;2;70;Viudo/a;FEMENINO;0;41298,69;0;0,43;0;JUBILADO PROVIN;1;0
107;37;4764,92;2470,61;1;83;Casado/a;FEMENINO;0;22987,28;21;0,09;2;JUBILADO NACION;1;0
108;113;6131,89;1844,20;2;70;Soltero/a;MASCULINO;0;78016,64;0;0,32;0;JUBILADO PROVIN;1;0
109;91;792,21;792,21;2;76;Casado/a;MASCULINO;0;51389,34;0;0,00;0;JUBILADO NACION;0;0
110;113;15887,33;8178,77;1;73;Soltero/a;FEMENINO;0;45183,46;0;0,17;0;JUBILADO PROVIN;0;0
111;114;43322,72;13068,36;1;79;Casado/a;FEMENINO;0;62167,86;21;0,10;3;JUBILADO PROVIN;0;0
112;111;7625,91;2808,54;1;79;Viudo/a;FEMENINO;0;134808,00;0;0,01;1;JUBILADO PROVIN;1;0
113;111;41779,76;18171,77;2;76;Divorciado/a;FEMENINO;0;56809,92;0;0,21;0;JUBILADO PROVIN;1;0
114;35;12276,99;6957,50;0;70;Casado/a;MASCULINO;0;25390,76;0;0,15;0;JUBILADO PROVIN;1;0
115;4;35271,60;19187,28;1;72;Casado/a;FEMENINO;0;20455,05;13;0,53;4;JUBILADO PROVIN;2;1
116;113;22536,16;4008,10;1;72;Casado/a;MASCULINO;0;84938,22;0;0,04;0;JUBILADO PROVIN;2;0
117;114;12763,33;3051,91;1;83;Divorciado/a;FEMENINO;0;23389,80;0;0,05;0;JUBILADO PROVIN;0;0
118;110;24698,06;7262,99;1;73;Casado/a;FEMENINO;0;50739,76;0;0,12;0;JUBILADO PROVIN;1;0
119;15;4679,58;1492,57;1;72;Casado/a;FEMENINO;0;56348,25;0;0,01;0;JUBILADO PROVIN;1;0
120;115;955,16;955,16;0;82;Viudo/a;FEMENINO;0;20647,61;0;0,00;0;JUBILADO PROVIN;1;0
121;113;41070,31;13398,13;2;71;Casado/a;FEMENINO;0;70863,05;0;0,03;0;JUBILADO PROVIN;1;0
122;114;17978,93;5812,58;1;82;Viudo/a;FEMENINO;0;18519,05;0;0,32;3;JUBILADO PROVIN;1;0
123;104;14875,58;4678,74;1;71;Divorciado/a;FEMENINO;0;28602,74;0;0,10;0;JUBILADO PROVIN;0;0
124;104;25500,67;12673,07;1;79;Viudo/a;FEMENINO;1;147270,80;0;0,05;0;JUBILADO PROVIN;0;0
125;113;30046,02;4434,11;1;70;Soltero/a;FEMENINO;0;36445,35;0;0,18;0;JUBILADO PROVIN;0;0
126;111;78480,93;20137,77;1;76;Viudo/a;FEMENINO;0;155883,64;0;0,10;0;JUBILADO PROVIN;1;0
127;30;21802,41;5415,96;2;71;Viudo/a;FEMENINO;1;50830,23;0;0,15;3;JUBILADO PROVIN;1;0
128;114;23860,91;3551,20;2;71;Soltero/a;FEMENINO;0;48335,12;0;0,07;0;JUBILADO PROVIN;1;0
129;106;1009,32;1009,32;1;84;Viudo/a;FEMENINO;0;38220,11;0;0,00;0;JUBILADO PROVIN;0;0
130;114;4347,69;675,85;0;64;Soltero/a;FEMENINO;0;64877,57;0;0,01;0;JUBILADO PROVIN;1;0
131;69;3454,51;1410,60;2;71;Viudo/a;FEMENINO;0;16062,21;0;0,18;0;JUBILADO NACION;0;0
132;72;10368,83;2467,76;1;71;Soltero/a;FEMENINO;0;24521,93;0;0,09;0;JUBILADO PROVIN;1;0
133;60;19716,68;7978,92;1;79;Viudo/a;FEMENINO;0;11547,58;0;0,55;0;JUBILADO PROVIN;1;0
134;111;71486,20;27376,71;1;72;Soltero/a;FEMENINO;0;43836,73;0;0,42;0;JUBILADO PROVIN;1;0
135;98;36697,69;1958,89;1;82;Viudo/a;FEMENINO;0;29740,67;0;0,27;0;JUBILADO PROVIN;0;0
136;29;2447,45;1363,62;1;70;Casado/a;FEMENINO;0;34063,91;0;0,02;0;JUBILADO PROVIN;0;0
137;38;9554,74;5637,41;1;70;Casado/a;MASCULINO;0;17678,06;51;0,25;0;JUBILADO PROVIN;0;0
138;63;2243,65;2243,65;1;72;Soltero/a;FEMENINO;0;29400,80;0;0,00;0;JUBILADO PROVIN;0;0
139;104;3729,02;2842,54;1;73;Viudo/a;FEMENINO;0;18568,93;0;0,28;0;JUBILADO PROVIN;0;0
140;114;21315,58;3854,64;1;81;Viudo/a;FEMENINO;0;65601,39;0;0,05;0;JUBILADO PROVIN;0;0
141;15;49550,55;12929,24;1;73;Viudo/a;FEMENINO;0;18138,58;0;0,81;0;JUBILADO PROVIN;1;0
142;77;13547,76;4109,46;1;78;Viudo/a;FEMENINO;0;19813,58;23;0,48;0;JUBILADO NACION;1;0
143;111;3396,14;3397,87;1;78;Soltero/a;FEMENINO;0;19893,62;0;0,00;0;JUBILADO PROVIN;0;0
144;104;1071,70;0,00;1;78;Viudo/a;FEMENINO;0;31093,21;0;0,04;0;JUBILADO PROVIN;0;0
145;111;14352,23;1817,53;1;74;Divorciado/a;FEMENINO;0;49249,18;0;0,15;0;JUBILADO PROVIN;1;0
146;114;524,86;524,86;1;83;Casado/a;FEMENINO;0;30987,65;0;0,00;0;JUBILADO PROVIN;0;0
147;105;299,00;299,00;1;87;Viudo/a;FEMENINO;0;58103,29;0;0,00;0;JUBILADO PROVIN;1;0
148;112;746,11;746,11;1;84;Divorciado/a;FEMENINO;0;30413,46;0;0,00;0;JUBILADO PROVIN;0;0
149;98;42031,99;6243,23;2;72;Soltero/a;FEMENINO;0;32971,21;0;0,38;0;JUBILADO PROVIN;1;0
150;102;4001,22;4001,22;1;83;Viudo/a;FEMENINO;0;15185,27;0;0,00;0;JUBILADO PROVIN;1;0
151;104;61565,13;25338,89;1;69;Casado/a;MASCULINO;0;60552,01;0;0,33;0;JUBILADO PROVIN;1;0
152;55;35795,16;7064,31;1;73;Soltero/a;FEMENINO;1;50542,56;0;0,12;0;JUBILADO PROVIN;1;0
153;51;15452,15;2602,96;1;73;Soltero/a;FEMENINO;0;10845,79;0;0,22;0;JUBILADO PROVIN;1;0
154;113;33901,21;22037,18;2;71;Soltero/a;FEMENINO;0;68927,05;0;0,20;0;JUBILADO PROVIN;1;0
155;111;6278,12;3094,29;1;74;Casado/a;FEMENINO;0;33421,28;0;0,04;0;JUBILADO PROVIN;1;0
156;104;27905,60;5331,82;2;83;Viudo/a;FEMENINO;0;69319,12;0;0,22;5;JUBILADO PROVIN;4;0
157;111;21647,49;19760,06;2;75;Divorciado/a;FEMENINO;0;40913,58;0;0,04;0;JUBILADO PROVIN;1;0
158;15;7464,31;3227,53;1;72;Viudo/a;FEMENINO;0;11900,21;0;0,53;4;JUBILADO NACION;1;0
159;114;22336,76;4481,09;1;76;Casado/a;FEMENINO;0;19848,38;0;0,22;0;JUBILADO PROVIN;1;0
160;19;2090,15;442,44;1;73;Viudo/a;FEMENINO;0;20564,09;0;0,06;0;JUBILADO PROVIN;0;0
